lat,lon,ID,time,elev
33.629126,-100.823604,923,28-MAR-15 10:41:39AM,745.141846
33.629052,-100.823701,925,28-MAR-15 11:02:23AM,744.420898
33.629053,-100.8237,926,28-MAR-15 11:02:59AM,744.420898
33.629054,-100.8237,927,28-MAR-15 11:03:05AM,745.141846
33.629099,-100.823663,928,28-MAR-15 11:06:34AM,743.940186
33.629099,-100.823664,929,28-MAR-15 11:07:09AM,744.901611
33.629037,-100.823683,930,28-MAR-15 11:07:56AM,744.420898
33.628992,-100.823706,931,28-MAR-15 11:08:51AM,745.141846
33.629,-100.823691,932,28-MAR-15 11:09:17AM,744.901611
33.628976,-100.823694,933,28-MAR-15 11:10:42AM,744.180664
33.628935,-100.82371,934,28-MAR-15 11:12:09AM,743.219238
33.628935,-100.823748,935,28-MAR-15 11:12:57AM,742.498291
33.628959,-100.823761,936,28-MAR-15 11:13:50AM,742.73877
33.628919,-100.82375,937,28-MAR-15 11:14:49AM,743.459717
33.628886,-100.823746,938,28-MAR-15 11:15:18AM,743.459717
33.628667,-100.823887,939,28-MAR-15 11:17:57AM,743.699951
33.628797,-100.824073,940,28-MAR-15 11:20:37AM,744.420898
33.628951,-100.824092,941,28-MAR-15 11:22:36AM,745.622559
33.628949,-100.824091,942,28-MAR-15 11:23:25AM,746.343506
33.628957,-100.82411,943,28-MAR-15 11:24:44AM,745.862793
33.628856,-100.824232,944,28-MAR-15 11:26:57AM,746.343506
33.628879,-100.824228,945,28-MAR-15 11:27:26AM,746.103271
33.628758,-100.824385,946,28-MAR-15 11:30:09AM,747.304932
33.628765,-100.824383,947,28-MAR-15 11:30:53AM,747.304932
33.628849,-100.824499,948,28-MAR-15 11:33:53AM,748.266113
33.628826,-100.824491,949,28-MAR-15 11:34:16AM,748.025879
33.628787,-100.824492,950,28-MAR-15 11:34:37AM,748.025879
33.628795,-100.824504,951,28-MAR-15 11:35:06AM,748.266113
33.629202,-100.824637,952,28-MAR-15 11:40:33AM,748.025879
33.629159,-100.824752,953,28-MAR-15 11:49:12AM,748.506348
33.629186,-100.824636,954,28-MAR-15 12:02:49PM,750.669434
33.629065,-100.825153,955,28-MAR-15 12:10:12PM,753.553223
33.629082,-100.825323,956,28-MAR-15 12:13:30PM,752.592041
33.629032,-100.825321,957,28-MAR-15 12:14:07PM,753.312988
33.629027,-100.825324,958,28-MAR-15 12:14:36PM,753.072754
33.629026,-100.825324,959,28-MAR-15 12:15:02PM,752.351562
33.628995,-100.825256,960,28-MAR-15 12:16:35PM,752.111328
33.628995,-100.825254,961,28-MAR-15 12:17:18PM,752.832275
33.629012,-100.825288,962,28-MAR-15 12:18:18PM,752.592041
33.629014,-100.825334,963,28-MAR-15 12:18:50PM,752.592041
33.629103,-100.825467,964,28-MAR-15 12:20:48PM,753.312988
33.629152,-100.825517,965,28-MAR-15 12:24:18PM,753.312988
33.629096,-100.82553,966,28-MAR-15 12:28:00PM,752.111328
33.629089,-100.825546,967,28-MAR-15 12:28:51PM,753.072754
33.629077,-100.825531,968,28-MAR-15 12:29:34PM,752.111328
33.628999,-100.825542,969,28-MAR-15 12:30:13PM,751.630615
33.629023,-100.825649,970,28-MAR-15 12:30:35PM,752.592041
33.629024,-100.825732,971,28-MAR-15 12:31:52PM,753.072754
33.629022,-100.825881,972,28-MAR-15 12:33:27PM,754.274414
33.629014,-100.825978,973,28-MAR-15 12:35:04PM,754.274414
33.629058,-100.826067,974,28-MAR-15 12:35:51PM,754.754883
33.629081,-100.826217,975,28-MAR-15 12:37:17PM,753.553223
33.629038,-100.826221,976,28-MAR-15 12:38:10PM,754.754883
33.629038,-100.826244,977,28-MAR-15 12:38:40PM,755.956543
33.629029,-100.826461,978,28-MAR-15 12:40:23PM,755.47583
33.629008,-100.82646,979,28-MAR-15 12:40:43PM,754.754883
33.629049,-100.826514,980,28-MAR-15 12:41:30PM,755.47583
33.628897,-100.826852,981,28-MAR-15 12:43:31PM,756.677734
33.628908,-100.826848,982,28-MAR-15 12:43:53PM,756.677734
33.628905,-100.826853,983,28-MAR-15 12:44:39PM,757.158447
